trip_id,start_time,end_time,duration_minutes,speed_min,speed_max,speed_avg,voltage_min,voltage_max,voltage_avg,current_min,current_max,current_avg,soc_start,soc_end,soc_min,soc_max,motor_temp_min,motor_temp_max,motor_temp_avg,cell_temp_min,cell_temp_max,cell_temp_avg,distance_km,energy_consumed_kwh
T001,2024-01-15T08:30:00Z,2024-01-15T09:45:00Z,75,0.0,85.0,45.2,340.0,385.0,362.5,-45.0,120.0,42.3,95.0,78.0,78.0,95.0,45.0,78.0,61.5,32.0,42.0,37.2,56.5,6.8
T002,2024-01-15T14:20:00Z,2024-01-15T15:10:00Z,50,0.0,110.0,62.8,325.0,380.0,352.1,-38.0,145.0,68.5,78.0,65.0,65.0,78.0,52.0,85.0,68.3,35.0,48.0,41.5,52.3,5.2
T003,2024-01-16T09:00:00Z,2024-01-16T10:30:00Z,90,-5.0,95.0,51.3,310.0,375.0,342.8,-52.0,135.0,55.1,68.0,54.0,54.0,68.0,48.0,82.0,65.2,33.0,45.0,39.1,77.0,5.6
T004,2024-01-16T16:45:00Z,2024-01-16T17:20:00Z,35,0.0,72.0,38.5,-2.0,370.0,335.2,-41.0,98.0,34.2,45.0,38.0,38.0,52.0,38.0,68.0,53.1,28.0,38.0,33.4,22.4,2.8
T005,,2024-01-17T09:15:00Z,120,0.0,88.0,52.1,315.0,378.0,346.5,,128.0,51.8,82.0,65.0,65.0,82.0,-10.0,88.0,62.8,38.0,51.0,44.6,104.2,6.8
T006,2024-01-17T11:30:00Z,2024-01-17T12:45:00Z,75,0.0,105.0,58.9,305.0,372.0,338.9,-35.0,152.0,71.2,56.0,42.0,42.0,56.0,55.0,92.0,73.5,36.0,55.0,45.8,73.6,5.6
T007,2024-01-17T18:00:00Z,2024-01-17T19:30:00Z,90,0.0,,48.2,298.0,365.0,331.6,-48.0,138.0,48.9,38.0,22.0,22.0,38.0,51.0,86.0,68.9,34.0,52.0,43.2,72.3,
T008,2024-01-18T07:15:00Z,2024-01-18T08:00:00Z,45,0.0,78.0,41.7,320.0,375.0,347.8,-42.0,115.0,38.7,71.0,58.0,58.0,71.0,42.0,72.0,57.2,30.0,41.0,35.7,31.3,5.2
T009,2024-01-18T13:45:00Z,,65,0.0,92.0,55.4,308.0,370.0,339.2,-39.0,142.0,59.3,,47.0,45.0,62.0,47.0,79.0,63.1,,46.0,40.3,60.1,6.0
T010,2024-01-19T10:00:00Z,2024-01-19T11:20:00Z,80,0.0,115.0,63.2,295.0,362.0,328.4,-51.0,158.0,75.4,48.0,32.0,32.0,48.0,58.0,95.0,76.8,37.0,58.0,47.5,84.3,6.4
